CustomerId,CreditScore,NumOfProducts,HasCrCard,IsActiveMember,Exited
15634602,619,1,1,1,1
15647311,608,1,0,1,0
15619304,502,3,1,0,1
15701354,699,2,0,0,0
15737888,850,1,1,1,0
15574012,645,2,1,0,1
15592531,822,2,1,1,0
15656148,376,4,1,0,1
15792365,501,2,0,1,0
15592389,684,1,1,1,0
15767821,528,2,0,0,0
15737173,497,2,1,0,0
15632264,476,2,1,0,0
15691483,549,2,0,0,0
15600882,635,2,1,1,0
15643966,616,2,0,1,0
15737452,653,1,1,0,1
15788218,549,2,1,1,0
15661507,587,1,0,0,0
15568982,726,2,1,1,0
15577657,732,2,1,1,0
15597945,636,2,1,0,0
15699309,510,1,1,0,1
15725737,669,2,0,1,0
15625047,846,1,1,1,0
15738191,577,2,0,1,0
15736816,756,1,1,1,0
15700772,571,2,0,0,0
15728693,574,1,1,1,0
15656300,411,2,1,1,0
15589475,591,3,1,0,1
15706552,533,1,0,1,0
15750181,553,2,0,0,0
15659428,520,2,1,1,0
15732963,722,2,1,1,0
15794171,475,1,1,0,1
15788448,490,1,0,1,0
15729599,804,1,0,1,0
15717426,850,1,1,1,0
15585768,582,2,0,1,0
15619360,472,1,1,0,0
15738148,465,1,0,0,1
15687946,556,1,1,1,0
15755196,834,1,0,0,1
15684171,660,1,1,1,0
15754849,776,2,1,1,0
15602280,829,1,1,1,1
15771573,637,1,1,1,1
15766205,550,1,0,1,0
15771873,776,2,1,0,0
15616550,698,2,1,0,0
15768193,585,2,0,0,0
15683553,788,2,0,0,0
15702298,655,1,0,0,1
15569590,601,1,1,0,1
15760861,619,1,1,1,0
15630053,656,1,1,0,0
15647091,725,1,0,0,0
15623944,511,1,1,0,1
15804771,614,1,1,1,0
15651280,742,1,0,0,0
15773469,687,2,0,0,0
15702014,555,2,0,0,0
15751208,684,1,1,1,0
15592461,603,1,1,1,0
15789484,751,2,1,1,0
15696061,581,1,1,0,0
15641582,735,2,1,1,0
15638424,661,2,0,1,0
15755648,675,1,1,0,0
15703793,738,4,1,0,1
15620344,813,1,1,0,0
15812518,657,1,0,1,0
15779052,604,2,1,1,0
15770811,519,2,0,1,0
15780961,735,2,1,0,0
15614049,664,2,1,1,0
15662085,678,1,1,1,0
15575185,757,1,0,1,0
15803136,416,2,1,0,0
15706021,665,2,0,0,0
15663706,777,1,1,0,1
15641732,543,2,0,0,0
15701164,506,1,1,1,0
15738751,493,2,1,0,0
15805254,652,2,1,1,0
15762418,750,1,1,0,1
15625759,729,2,1,0,0
15622897,646,3,1,0,1
15767954,635,2,1,1,0
15757535,647,3,1,1,1
15731511,808,2,1,0,0
15809248,524,2,1,0,0
15640635,769,2,1,1,0
15676966,730,2,0,1,0
15699461,515,1,0,1,0
15738721,773,1,0,1,0
15693683,814,2,1,1,0
15604348,710,2,0,0,0
15633059,413,2,0,0,0
15808582,665,1,1,1,0
15743192,623,2,0,0,0
15580146,738,1,1,0,0
15776605,528,2,1,0,0
15804919,670,1,1,1,1
15613854,622,2,1,1,1
15599195,582,1,1,1,0
15812878,785,1,0,1,0
15602312,605,1,0,0,0
15744689,479,1,1,0,1
15803526,685,1,0,1,0
15665790,538,2,1,0,0
15715951,562,1,0,0,0
15591100,675,1,0,1,0
