CustomerId,CreditScore,Tenure
15634602,619,2
15647311,608,1
15619304,502,8
15701354,699,1
15737888,850,2
15574012,645,8
15592531,822,7
15656148,376,4
15792365,501,4
15592389,684,2
15767821,528,6
15737173,497,3
15632264,476,10
15691483,549,5
15600882,635,7
15643966,616,3
15737452,653,1
15788218,549,9
15661507,587,6
15568982,726,6
15577657,732,8
15597945,636,8
15699309,510,4
15725737,669,3
15625047,846,5
15738191,577,3
15736816,756,2
15700772,571,9
15728693,574,3
15656300,411,0
15589475,591,3
15706552,533,7
15750181,553,9
15659428,520,6
15732963,722,9
15794171,475,0
15788448,490,3
15729599,804,7
15717426,850,7
15585768,582,6
15619360,472,4
15738148,465,8
15687946,556,2
15755196,834,2
15684171,660,5
15754849,776,4
15602280,829,9
15771573,637,9
15766205,550,2
15771873,776,2
15616550,698,10
15768193,585,5
15683553,788,5
15702298,655,8
15569590,601,1
15760861,619,1
15630053,656,5
15647091,725,0
15623944,511,4
15804771,614,4
15651280,742,5
15773469,687,9
15702014,555,1
15751208,684,8
15592461,603,4
15789484,751,6
15696061,581,1
15641582,735,10
15638424,661,5
15755648,675,8
15703793,738,2
15620344,813,6
15812518,657,0
15779052,604,5
15770811,519,9
15780961,735,1
15614049,664,8
15662085,678,9
15575185,757,5
15803136,416,10
15706021,665,1
15663706,777,2
15641732,543,3
15701164,506,4
15738751,493,4
15805254,652,10
15762418,750,3
15625759,729,9
15622897,646,4
15767954,635,3
15757535,647,5
15731511,808,7
15809248,524,10
15640635,769,8
15676966,730,4
15699461,515,10
15738721,773,9
15693683,814,8
15604348,710,8
15633059,413,9
15808582,665,6
15743192,623,6
15580146,738,9
15776605,528,7
15804919,670,1
15613854,622,4
15599195,582,1
15812878,785,2
15602312,605,5
15744689,479,9
15803526,685,3
15665790,538,7
15715951,562,2
15591100,675,9
15609618,721,9
15675522,628,9
15705512,668,6
15698028,506,1
15661670,524,8
15600781,699,4
15682472,828,8
15580203,674,6
15690673,656,6
15760085,684,10
15779659,625,3
15627360,432,9
15671137,549,1
15782688,625,0
15575492,828,7
15591607,770,9
15740404,758,3
15718369,795,9
15677871,687,9
15642004,686,1
15712543,789,7
15584518,589,5
15802381,461,5
15610156,637,2
15594408,584,2
15640905,579,1
15698932,756,10
15724944,663,7
15628145,682,5
15713483,793,2
15612350,691,5
15800703,485,5
15705707,635,8
15754105,650,5
15703264,735,9
15794413,416,0
15650237,754,7
15759618,535,9
15811589,716,8
15689044,539,2
15709368,614,6
15679145,706,7
15655007,758,7
15623595,586,2
15589975,646,6
15804017,631,4
15692132,717,6
15641122,684,2
15630910,800,7
15680772,721,2
15658929,683,0
15585388,660,9
15724623,704,7
15588537,615,9
15574692,667,2
15611325,682,9
15587562,484,4
15613172,628,5
15651022,480,10
15586310,578,4
15625524,512,5
15755209,484,7
15645248,510,0
15790355,606,5
15762615,597,8
15625426,754,3
15716334,850,2
15789669,510,2
15621075,778,1
15810845,636,2
15719377,804,4
15654506,514,8
15771977,730,1
15708710,525,0
15726676,616,5
15587421,687,7
15726931,715,8
15771086,512,3
15756850,479,1
15702741,601,8
15679200,580,9
15594815,807,3
15635905,616,6
15777892,721,3
15656176,501,10
15811127,521,6
15604482,850,2
15622911,759,4
15600974,516,5
15727868,711,2
15627801,512,3
15773039,550,3
15755262,608,3
15679531,618,5
15684181,643,5
15612087,671,2
15752047,689,2
15624592,603,8
15573152,620,9
15594917,676,1
15785542,572,4
15723488,668,7
15680920,695,7
15786308,730,9
15659366,807,1
15774854,592,8
15725311,726,9
15787155,514,7
15727829,567,2
15733247,850,10
15568748,671,6
15699029,670,4
15774393,694,9
15676895,547,6
15637753,751,2
15605461,594,3
15808473,673,1
15627000,610,0
15787174,512,1
15723886,767,3
15704769,585,5
15772896,763,6
15711540,712,2
15764866,539,3
15794056,668,2
15795149,703,2
15812009,662,4
15651001,725,5
15813844,703,8
15596175,659,6
15576269,523,7
15797219,635,10
15685500,772,7
15599792,545,1
15657566,634,8
15772423,739,8
15628112,771,5
15753754,587,1
15793726,681,0
15694717,544,2
15665834,696,8
15765297,766,0
15636684,727,10
15592979,671,6
15750803,693,6
15607178,850,3
15713853,732,9
15673481,726,6
15686776,557,6
15673693,682,0
15700696,738,9
15813163,531,9
15653857,498,2
15777076,651,7
15717398,549,7
15799217,791,7
15787071,650,9
15619955,733,3
15796505,811,1
15725166,707,8
15800116,712,4
15758685,706,7
15694456,756,3
15767339,777,10
15683562,646,6
15782210,714,1
15668893,782,8
15669169,775,10
15643024,479,4
15699389,807,7
15708608,799,8
15626144,675,7
15573112,602,5
15790678,475,8
15727556,744,5
15697307,588,10
15652266,703,9
15607098,747,5
15655774,583,7
15590241,750,9
15785819,681,3
15723654,773,2
15774510,714,4
15684173,687,7
15650068,511,0
15811490,627,5
15803976,694,10
15682541,616,6
15695699,687,8
15624188,712,6
15812191,553,4
15636673,667,1
15594898,731,2
15660211,629,7
15773972,614,4
15746726,438,8
15712287,652,4
15702919,729,6
15674398,642,3
15797960,806,0
15631868,744,2
15581539,474,3
15662736,559,2
15666252,706,9
15677512,628,3
15626114,429,4
15810834,525,2
15678910,680,8
15694408,749,1
15585215,763,4
15682757,734,3
15736601,716,4
15601848,594,2
15736008,644,9
15669064,671,1
15624528,664,7
15598493,656,7
15601274,667,1
15702669,663,2
15728669,584,8
15742668,626,6
15697441,485,7
15740476,659,3
15648064,649,2
15636624,805,5
15807923,716,10
15745844,642,6
15786170,659,4
15681081,545,5
15684484,543,8
15785869,718,7
15763859,840,7
15658935,630,9
15747358,643,3
15735203,654,1
15576256,582,5
15659420,659,3
15593365,762,2
15777352,568,7
15812007,670,6
15625461,613,1
15739438,539,0
15611759,850,8
15661629,522,9
15633950,737,1
15592386,520,3
15803716,706,3
15696674,643,2
15706365,648,9
15745088,443,9
15676715,640,9
15613085,628,3
15633537,540,9
15594720,460,8
15684042,636,2
15583303,593,2
15611579,801,4
15774696,640,1
15694506,611,0
15688074,802,1
15759537,717,7
15758449,769,8
15583456,745,10
15667871,572,4
15677371,629,2
15629677,687,2
15713578,483,9
15591509,690,7
15568240,492,10
15622993,709,8
15689294,705,3
15720910,560,9
15721181,611,6
15776433,730,2
15748936,709,2
15717225,544,10
15685226,712,7
15785611,752,3
15573456,648,9
15684548,556,8
15620505,594,0
15807432,645,2
15584766,557,3
15612187,547,8
15762218,701,9
15646372,616,1
15690452,605,1
15747795,593,4
15781589,751,8
15732674,443,6
15642291,685,8
15692761,718,9
15578045,538,9
15745354,611,4
15701376,668,10
15691625,537,3
15566594,709,10
15760431,850,1
15686302,745,3
15801559,693,9
15810432,795,8
15809616,626,8
15720559,487,5
15695632,556,9
15659843,643,6
15615624,605,6
15810418,756,3
15716186,586,2
15674551,535,7
15622834,678,4
15566111,596,9
15784597,648,9
15652883,492,10
15806964,702,0
15576313,486,9
15806467,568,1
15597602,619,3
15743040,724,2
15705521,548,0
15595039,545,8
15799384,683,8
15581197,762,3
15693737,627,4
15624623,516,10
15783501,800,2
15690134,464,3
15782735,626,3
15611088,790,9
15672145,534,7
15732628,745,2
15787470,553,3
15803406,748,1
15730460,722,2
15644572,501,4
15694860,675,6
15658169,778,6
15794396,494,7
15785798,850,9
15710825,592,7
15668444,590,3
15726631,758,6
15733797,506,5
15747960,733,3
15634632,711,3
15707362,514,1
15662976,637,8
15732778,468,1
15718443,539,3
15670039,509,3
15773792,662,4
15613786,818,4
15726032,608,9
15663252,850,9
15593782,816,5
15633283,536,8
15749167,753,3
15759298,631,10
15683625,703,1
15635367,774,2
15681705,785,8
15603156,571,1
15591986,621,6
15798888,605,1
15809722,611,8
15677538,569,7
15797736,658,4
15695585,788,6
15744398,525,5
15750658,798,8
15578186,486,9
15676519,615,9
15637954,730,0
15758639,641,7
15613772,542,3
15731744,692,2
15807709,714,9
15714689,591,1
15699005,710,2
15624170,639,4
15725679,531,6
15585865,673,2
15804256,765,8
15662403,622,6
15733616,806,5
15591995,757,8
15677020,570,8
15727688,555,4
15715941,692,5
15714485,774,5
15730059,638,9
15715527,543,4
15576623,584,5
15805565,691,7
15677307,684,6
15773890,733,5
15598883,599,2
15568506,524,10
15761043,632,6
15782236,735,5
15593601,734,6
15682048,605,3
15746902,793,9
15752081,468,10
15781307,779,7
15775912,698,4
15745417,707,6
15671256,850,1
15653547,850,7
15595766,527,5
15742358,696,8
15763274,661,3
15786063,776,2
15600258,701,2
15573318,610,8
15653849,572,3
15694272,673,1
15736112,519,2
15749851,702,4
15663478,729,6
15592300,543,10
15567832,550,7
15776780,608,1
15592846,639,10
15739803,686,9
15794142,564,5
15762729,745,1
15667896,833,8
15626578,622,9
15776223,597,4
15705953,721,0
15802593,504,7
15615457,842,2
15708916,587,0
15720187,479,7
15595440,508,7
15600651,749,1
15750141,721,3
15657284,674,6
15763063,685,10
15709324,417,7
15711309,574,3
15775318,590,3
15705515,587,5
15634844,598,3
15717046,741,3
15571816,850,5
15670080,584,7
15800440,650,1
15665678,607,8
15665956,509,1
15788126,689,6
15811773,543,4
15651674,438,2
15689614,687,1
15795564,737,5
15706647,761,7
15728505,601,1
15730076,651,1
15622003,745,9
15607312,648,10
15644753,848,3
15653620,546,8
15761986,439,3
15633922,755,4
15734674,593,6
15658032,701,2
15692671,701,8
15737741,607,2
15576352,586,3
15753719,547,9
15803689,647,1
15718057,760,2
15722010,621,9
15680998,725,5
15614782,526,1
15591047,519,6
15788291,713,7
15604044,700,8
15679587,666,9
15775153,630,4
15603925,779,4
15680970,611,2
15697183,685,9
15567446,646,9
15637476,683,5
15714939,484,4
15683503,601,8
15645569,762,7
15782569,687,9
15592387,566,5
15609286,702,10
15814035,601,9
15661249,699,4
15629117,584,10
15607170,699,5
15586585,698,2
15686611,495,10
15603203,650,6
15619857,605,2
15805062,667,1
15660271,688,8
15745295,727,0
15719352,754,6
15766575,612,8
15594594,546,7
15646161,673,8
15682585,593,9
15603134,656,10
15636444,535,5
15773456,678,3
15745307,477,2
15604119,850,7
15626900,427,1
15605447,752,2
15589030,649,1
15692463,799,3
15712403,589,1
15811762,583,6
15718673,839,10
15724282,540,3
15738181,850,6
15633648,696,5
15603323,660,1
15583725,682,1
15588350,744,10
15798398,785,4
15784844,752,5
15580684,706,5
15809663,583,1
15640078,660,5
15698786,819,9
15569807,673,8
15730830,752,3
15805112,578,7
15633064,438,4
15703119,652,6
15730447,629,4
15813850,720,7
15711889,668,3
15664610,459,4
15751710,729,8
15692926,498,8
15813741,549,6
15698474,601,1
15568595,544,9
15603065,751,6
15592937,632,3
15699637,694,8
15667215,678,2
15788659,695,4
15763218,661,1
15645772,661,9
15725511,559,3
15575024,503,3
15640825,695,3
15662397,640,5
15576368,624,3
15674991,667,9
15721024,642,0
15745621,640,6
15642394,529,5
15754605,563,5
15607040,593,4
15715142,739,7
15810978,788,1
15668886,684,3
15780804,482,5
15613880,591,5
15775238,651,4
15786905,749,8
15747867,583,9
15600337,661,2
15801277,715,2
15579334,769,5
15802741,625,7
15720649,641,5
15589493,716,1
15688251,767,1
15665238,745,8
15740900,589,6
15681068,796,2
15748625,664,6
15727299,445,1
15620204,543,1
15669516,746,2
15736534,742,0
15803457,750,5
15659098,669,7
15603436,594,2
15566292,574,1
15808621,659,2
15580148,750,5
15776231,626,4
15773809,620,4
15649423,580,8
15734886,686,3
15722548,540,0
15650288,634,6
15629448,632,1
15716164,501,3
15807609,650,3
15578977,786,9
15677369,554,4
15804072,701,5
15696859,474,10
15653780,621,5
15721658,672,2
15578761,459,6
15736879,669,1
15571973,776,2
15626742,694,3
15672692,787,10
15673570,580,9
15767432,711,7
15654238,673,5
15612525,499,1
15812750,591,6
15790757,769,10
15723873,657,3
15744607,738,9
15612966,545,7
15784209,497,6
15794278,816,6
15766741,525,2
15661036,725,6
15705639,692,8
15637414,618,7
15716835,546,8
15696231,635,7
15641675,611,2
15670755,650,8
15640059,606,5
15787619,844,2
15587535,450,5
15813034,727,2
15698839,460,4
15790314,649,0
15634245,758,9
15677305,490,7
15661526,815,2
15685997,838,5
15660101,803,9
15637979,664,2
15815364,736,2
15647099,633,9
15625944,664,5
15583212,600,5
15582741,693,5
15637876,663,6
15622750,742,1
15672056,710,2
15812351,710,2
15810864,700,2
15677921,720,9
15724296,684,2
15685329,531,1
15584091,742,2
15640442,717,4
15639314,589,2
15685320,767,3
15789158,636,6
15752137,648,7
15712551,622,7
15628936,692,9
15797227,754,8
15769974,679,8
15737051,639,8
15585595,774,1
15654060,517,2
15745196,571,8
15571221,747,7
15660155,792,5
15605284,688,1
15694366,714,2
15600739,562,0
15653253,704,8
15763431,698,2
15643696,611,3
15707473,850,6
15769504,743,1
15776807,654,1
15686870,761,8
15668747,702,9
15766908,488,3
15570134,683,6
15567367,601,9
15747542,605,7
15762238,671,0
15681554,614,7
15712825,511,9
15640280,850,4
15756026,790,9
15613319,793,0
15798906,628,5
15708917,598,10
15778463,657,6
15699430,618,10
15649992,681,7
15578980,516,3
15775306,421,8
15641655,700,2
15619708,745,5
15734565,696,8
15806438,580,2
15591969,497,9
15747807,720,6
15596939,659,4
15716155,841,5
15765311,642,8
15757811,732,9
15603830,600,4
15660602,464,8
15660535,680,5
15666633,758,1
15596914,630,2
15639788,577,10
15695846,684,6
15726234,708,5
15797964,732,1
15625881,634,3
15780628,633,6
15575883,559,2
15585036,694,3
15589488,686,5
15585888,553,3
15727915,507,4
15707567,732,6
15737792,818,1
15599433,660,8
15672012,773,5
15806983,640,3
15592222,505,7
15608968,714,6
15586959,468,5
15646558,611,1
15725811,705,0
15572265,646,1
15794048,667,1
15677610,511,8
15745012,653,6
15601589,675,8
15686436,523,4
15693864,567,5
15760550,741,7
15686137,456,9
15809087,598,1
15807663,667,8
15809100,548,2
15794916,725,7
15614215,717,6
15805449,594,4
15686983,678,10
15808017,545,1
15756804,636,1
15646810,603,6
15710424,435,4
15799422,535,8
15692750,629,7
15794549,722,2
15803764,561,7
15674840,645,5
15653762,501,9
15581229,502,1
15800228,652,4
15656333,574,3
15697497,518,9
15585362,749,6
15571928,679,4
15785519,565,6
15743007,643,4
15777211,515,7
15721935,521,7
15591711,739,0
15625021,585,2
15702968,733,3
15600462,542,8
15768104,788,8
15780140,435,2
15585255,577,9
15772781,703,3
15669987,728,8
15697000,728,5
15733119,718,8
15782390,621,6
15654700,523,2
15632210,657,2
15642041,727,1
15709737,643,7
15792388,645,7
15786014,568,5
15794580,599,4
15675964,672,9
15814275,685,6
15724848,516,1
15754713,685,10
15693814,806,7
15599660,604,6
15746490,648,6
15566091,545,4
15655961,756,1
15710404,569,10
15775625,596,6
15792328,475,6
15719856,646,3
15593773,784,3
15733114,552,9
15797748,729,5
15743411,609,1
15753337,555,5
15601026,572,1
15658485,785,9
15636731,714,1
15628303,738,3
15633461,639,5
15677135,520,8
15590876,764,7
15790782,661,6
15700476,564,9
15634141,708,8
15737795,512,1
15790299,592,9
15675316,619,3
15613630,775,8
15662100,850,5
15668032,577,4
15599289,724,10
15754084,710,1
15676521,696,8
15804586,376,6
15781465,675,8
15729362,745,8
15709295,697,5
15745324,599,4
15741336,715,5
15783659,659,4
15620981,684,3
15630328,635,8
15785899,789,8
15606149,571,9
15671139,694,0
15660429,665,2
15571002,706,4
15631681,807,0
15731522,771,8
15619529,531,8
15628034,629,6
15686164,850,1
15582797,685,4
15753831,642,7
15731815,529,4
15580956,683,4
15602084,663,5
15589805,563,6
15720893,637,9
15641009,544,3
15605926,649,9
15805955,638,10
15801488,723,3
15605918,635,5
15779711,750,7
15705620,730,5
15685357,750,8
15570060,586,8
15582616,520,4
15799515,652,8
15642937,550,7
15624729,594,0
15566156,749,0
15792360,668,7
15807008,614,6
15704770,773,1
15756475,551,9
15655339,566,1
15613749,569,0
15664521,659,7
15681206,722,3
15745527,655,5
15806926,615,2
15724563,752,3
15782899,661,7
15623521,838,9
15810218,610,9
15645621,811,3
15608114,587,7
15659557,811,4
15787772,759,1
15691111,648,8
15592089,788,10
15633897,725,1
15701301,646,3
15723685,601,7
15701602,521,5
15739189,561,6
15573086,564,7
15569050,444,6
15750765,650,0
15799811,724,10
15698442,719,3
15655274,548,4
15603594,635,4
15585961,496,3
15686936,676,5
15770424,541,7
15587451,778,7
15602010,850,5
15600583,633,1
15654673,625,6
15717164,485,6
15765014,547,1
15682639,642,3
15729279,718,4
15759805,582,4
15767864,628,6
15769948,737,0
15686345,828,9
15688071,609,10
15681174,730,1
15667521,631,3
15750243,830,4
15695475,645,1
15689176,663,3
15652955,678,0
15668958,521,2
15631054,625,1
15581479,523,1
15577478,714,3
15780870,580,3
15692317,722,5
15593969,630,7
15570417,579,1
15779059,670,4
15785980,588,6
15644200,807,1
15793949,726,4
15645103,812,5
15705860,631,3
15623828,682,4
15715003,625,2
15623471,607,3
15798348,600,6
15743016,602,7
15769499,545,3
15798521,675,3
15706534,581,1
15706186,640,8
15812197,850,7
15650933,490,8
15692991,710,4
15631189,613,9
15762198,812,5
15699598,723,4
15692744,512,4
15688963,731,10
15599131,650,4
15680303,594,6
15628674,844,7
15648075,686,5
15586970,695,8
15625698,624,6
15790497,503,6
15682618,535,7
15762937,743,6
15750929,702,8
15729832,658,3
15633650,677,8
15748856,664,10
15589195,766,7
15699911,461,8
15663438,688,0
15692583,678,5
15591257,796,8
15646513,803,5
15708063,712,2
15696098,498,10
15645517,850,2
15649744,628,3
15604304,539,4
15784092,732,7
15585198,715,4
15624347,651,4
15621687,813,0
15689081,692,4
15813168,756,3
15604295,543,6
15724127,790,4
15673055,494,7
15768201,850,2
15782219,703,9
15746410,432,7
15780144,512,2
15590476,589,7
15624293,514,3
15618182,678,2
15660316,420,1
15678886,679,7
15616330,595,4
15592229,713,0
15798424,833,1
15714750,690,3
15648800,731,8
15626147,608,8
15626608,479,5
15723250,519,8
15592583,731,1
15759381,617,7
15585241,756,2
15589358,848,4
15672704,809,4
15789955,698,1
15596800,779,1
15627305,606,7
15645316,612,1
15593973,663,8
15647301,549,3
15750258,675,2
15685309,669,7
15628205,571,1
15733974,500,9
15762110,628,0
15706899,559,4
15732660,769,2
15656121,733,6
15614220,750,5
15645269,583,4
15698510,468,9
15569247,727,1
15566251,618,5
15716134,617,5
15763625,793,9
15605965,630,9
15694821,765,4
15601688,546,8
15575581,614,3
15671209,593,5
15616529,613,3
15773906,655,4
15722993,700,6
15752463,826,4
15589754,652,2
15669899,755,7
15766887,538,2
15768006,729,3
15741295,615,3
15811327,700,1
15690007,434,9
15690664,729,10
15719348,513,8
15781802,755,6
15752731,615,9
15600997,747,5
15750776,850,0
15723907,712,5
15633419,622,1
15702430,548,10
15710456,607,2
15650351,653,8
15590820,699,6
15640454,693,0
15697789,647,3
15808182,478,3
15588670,705,5
15721292,719,5
15604217,726,9
15651369,626,1
15782454,552,4
15814032,807,1
15570326,621,6
15624428,651,7
15755638,673,5
15600992,652,1
15755649,584,7
15795228,756,3
15589257,670,3
15719302,765,9
15639882,528,2
15791279,701,5
15636935,797,1
15686909,639,3
15589572,785,4
15779947,363,6
15573769,764,7
15578866,676,2
15739131,718,4
15813444,590,6
15678058,584,9
15769169,645,7
15804602,772,6
15651052,399,2
15724334,529,5
15569451,463,2
15650098,630,7
15724307,780,10
15599268,584,5
15594864,752,4
15616451,697,6
15715667,850,7
15658969,711,7
15738174,452,5
15813590,610,6
15624229,694,4
15674148,579,6
15625080,745,8
15682528,572,5
15696900,505,3
15730038,706,5
